id,frame,q,a,eq,ea
1,60,조선의 몇 번째 왕인가요?,1,조선의 몇번째 왕인가요?,1
2,80,임금님은 어디서 태어났어요?,2,임금님은 어디서 태어났어요?,1
3,0,운현궁은 어디에 있나요?,3,운현궁은 어디에 있나요?,1
4,0,전하의 부모님은 누구이신가요?,4,전하의 부모님은 누구이신가요?,1
5,0,대원군이 뭐예요?,5,대원군이 뭐예요?,1
6,51,전하는 몇 살에 왕이 됐나요?,6,전하는 몇살에 왕이 됬나요?,1
7,89,전하도 형제가 있나요?,7,전하도 형제가 있나요?,1
8,48,인터넷 검색하면 사진이 많이 나오던데 언제 처음 사진을 찍어봤나요?,8,인터넷 검색하면 사진 많이 나오던데 사진을 처음 찍어본게 언제세요?,1
9,0,폐하의 가족은 어떻게 되시나요?,9,폐하의 가족은 어떻게 되시나요?,1
10,0,언제 첫 아이를 낳았나요?,10,언제 첫 아이를 낳았나요?,1
11,0,왕비와 언제 결혼하셨어요?,11,왕비와 언제 결혼하셨어요?,1
12,0,명성황후와 사이가 좋았나요?,12,명성황후와 사이가 좋았나요?,1
13,0,가장 좋아한 후궁은 누구였어요?,13,가장 좋아한 후궁은 누구였어요?,1
14,50,딸인 덕혜옹주는 예뻤나요?,14,딸인 덕혜옹주는 예뻤나요?,1
15,30,아들 중 가장 잘생긴 아들은 누군가요?,15,아들 중 가장 잘생긴 아들은 누군가요?,1
16,68,영친왕은 누구예요?,16,영친왕은 누구예요?,1
17,20,영친왕의 부인은 누구예요?,17,영친왕의 부인은 누구예요?,1
18,0,의친왕은 누구예요?,18,의친왕은 누구예요?,1
19,0,조선의 왕이 되던 날 기억하세요?,19,조선의 왕이 되던 날 기억하세요?,1
20,0,왜 노란 옷을 입고 계시나요?,20,왜 노란옷을 입고 계시나요?,1
21,0,황제는 언제 되셨어요?,21,황제는 언제 되셨어요?,1
22,0,황제 즉위식은 어디서 행해졌나요?,22,황제 즉위식은 어디서 행해졌나요?,1
23,0,왜 대한이라는 용어를 사용하셨나요?,23,왜 대한이라는 용어를 사용하셨나요?,1
24,40,경운궁이 어디예요?,24,경운궁이 어디에요?,1
25,20,경운궁은 언제부터 궁궐이었나요?,25,경운궁은 언제부터 궁궐이었나요?,1
26,20,정릉동 행궁이 무엇인가요?,26,정릉동행궁이 무엇인가요?,1
27,0,경운궁을 왜 덕수궁이라고 불러요?,27,경운궁을 왜 덕수궁이라고 불러요?,1
28,0,덕수궁의 뜻은 무엇인가요?,28,덕수궁의 뜻은 무엇인가요?,1
29,0,광무개혁이 뭐예요?,29,광무개혁이 뭐예요?,1
30,0,구본신참이 뭐예요?,30,구본신참이 뭐예요?,1
31,32,교전소가 뭐예요?,31,교전소가 뭐예요?,1
32,32,교전소는 어떻게 만들게 되었나요?,32,교전소는 어떻게 만들게 되었나요?,1
33,0,교전소의 법과 국정을 새롭게 하는 것이 무슨 연관인가요?,33,교전소의 법과 국정을 새롭게 하는 것이 무슨 연관인가요?,1
